Time,del_2,del_3,del_6,del_9,del_10,del_13
1.8981,-0.08719072788,-0.2226902333,-0.2523370053,-0.2597231708,-0.2633508911,-0.2679267448
1.91475,-0.08719117036,-0.2226913674,-0.2523381304,-0.2597242303,-0.2633519832,-0.2679278951
1.9314,-0.08719161437,-0.2226925033,-0.2523392572,-0.2597252914,-0.2633530768,-0.2679290468
1.94805,-0.08719205989,-0.2226936409,-0.2523403859,-0.2597263539,-0.2633541717,-0.2679301999
1.9647,-0.08719250691,-0.2226947803,-0.2523415162,-0.2597274178,-0.263355268,-0.2679313543
1.98135,-0.08719295541,-0.2226959213,-0.2523426482,-0.259728483,-0.2633563655,-0.26793251
1.998,-0.08059842707,-0.2261821081,-0.2334831503,-0.2283530342,-0.2348702282,-0.2321699536
2.01465,-0.08437338471,-0.2355750732,-0.2570274976,-0.2562056707,-0.2629832073,-0.2631008204
2.0313,-0.08643159486,-0.2407843915,-0.2687865056,-0.2693956962,-0.2762670447,-0.2783247281
2.04795,-0.08790642742,-0.2444171379,-0.2773402611,-0.2786736065,-0.2855762058,-0.2893566812
2.0646,-0.08921180915,-0.2475456362,-0.2851309157,-0.2870328894,-0.2939404253,-0.2994199301
2.08125,-0.0904816498,-0.2505184445,-0.2928413728,-0.2953074556,-0.3022030701,-0.309418891
2.0979,-0.09844844952,-0.2509379064,-0.3061545849,-0.3144868861,-0.319730172,-0.3270697308
2.11455,-0.09454152163,-0.2412749609,-0.2854289092,-0.2908037446,-0.2953931824,-0.3024928902
2.1312,-0.09315489349,-0.2375731664,-0.278839814,-0.2837162555,-0.2880906093,-0.2949408835
2.14785,-0.09260441111,-0.2359920961,-0.2761503041,-0.2810854401,-0.285363696,-0.2920096074
2.1645,-0.09226607262,-0.2350248721,-0.2742712016,-0.2794476925,-0.283651438,-0.2900729438
2.18115,-0.09193278805,-0.2341446125,-0.2723224347,-0.277841776,-0.2819675935,-0.2881231865
2.1978,-0.09153925899,-0.2331760683,-0.2700804298,-0.2760104639,-0.2800502928,-0.285901106
2.21445,-0.09107198043,-0.2320761339,-0.2675379651,-0.2739200206,-0.2778673667,-0.2833867723
2.2311,-0.09053799815,-0.2308541216,-0.2647652018,-0.2716161225,-0.2754679659,-0.2806444658
2.24775,-0.08995311316,-0.2295409253,-0.2618603159,-0.2691743209,-0.2729315657,-0.2777689484
2.2644,-0.08933686859,-0.2281760152,-0.2589288709,-0.2666799618,-0.2703472848,-0.2748634711
2.28105,-0.08871005829,-0.2268012895,-0.2560735314,-0.264218478,-0.267803878,-0.2720290182
2.2977,-0.08809325972,-0.2254577655,-0.25338812,-0.2618699019,-0.2653840868,-0.2693582024
2.31435,-0.08750583547,-0.2241835443,-0.2509538713,-0.2597053991,-0.2631610887,-0.2669314661
2.331,-0.08696520498,-0.2230124615,-0.2488370812,-0.2577850091,-0.2611962107,-0.2648147124
2.34765,-0.08648598861,-0.2219716492,-0.2470877523,-0.2561561737,-0.2595375009,-0.2630579921
2.3643,-0.0860807822,-0.2210866752,-0.2457389768,-0.2548529583,-0.2582188707,-0.2616946031
2.38095,-0.08575836767,-0.2203735369,-0.2448079954,-0.2538968015,-0.2572611206,-0.2607426479
2.3976,-0.08552444728,-0.219842554,-0.2442953885,-0.253295034,-0.2566703736,-0.260203631
2.41425,-0.08538145517,-0.2194981374,-0.2441873192,-0.253042769,-0.256440136,-0.2600649194
2.4309,-0.08532869603,-0.2193387469,-0.2444568281,-0.2531235943,-0.256552075,-0.2603009003
2.44755,-0.08536250829,-0.2193572672,-0.2450657257,-0.2535108715,-0.2569774279,-0.2608748002
2.4642,-0.08547654538,-0.2195415219,-0.245966708,-0.2541692704,-0.2576786407,-0.2617407224
2.48085,-0.08566212541,-0.2198748993,-0.2471056235,-0.2550564853,-0.258611184,-0.2628458407
2.4975,-0.0859086389,-0.2203370748,-0.2484238126,-0.2561250762,-0.259725485,-0.2641326753
2.51415,-0.08620399857,-0.2209048099,-0.2498604365,-0.2573243718,-0.2609689101,-0.2655413708
2.5308,-0.08653511522,-0.2215528021,-0.2513547197,-0.2586023724,-0.2622877319,-0.2670119043
2.54745,-0.08688838333,-0.2222545612,-0.2528480403,-0.2599075899,-0.2636290196,-0.2684861556
2.5641,-0.08725016101,-0.2229832867,-0.2542858076,-0.2611907713,-0.2649423961,-0.2699097818
2.58075,-0.08760722936,-0.2237127213,-0.255619085,-0.262406454,-0.2661816117,-0.2712338495
2.5974,-0.08794721792,-0.2244179549,-0.2568059195,-0.2635143122,-0.2673058945,-0.2724161863
2.61405,-0.08825898377,-0.2250761575,-0.257812356,-0.2644802587,-0.2682810422,-0.2734224245
2.6307,-0.08853293371,-0.2256672185,-0.2586131177,-0.2652772769,-0.2690802326,-0.2742267181
2.64735,-0.08876128048,-0.2261742736,-0.259191948,-0.2658859648,-0.2696845357,-0.2748121243
2.664,-0.0889382261,-0.226584105,-0.2595416154,-0.2662947836,-0.2700831213,-0.2751706487
2.68065,-0.08906006791,-0.2268874032,-0.259663596,-0.2665000122,-0.2702731658,-0.2753029685
2.6973,-0.0891252256,-0.227078884,-0.2595674574,-0.2665054208,-0.2702594733,-0.2752178536
2.71395,-0.08913419054,-0.2271572627,-0.25926998,-0.266321687,-0.2700538374,-0.2749313226
2.7306,-0.089089402,-0.227125088,-0.2587940626,-0.2659655882,-0.2696741787,-0.2744655777
2.74725,-0.08899505757,-0.2269884514,-0.258167466,-0.2654590128,-0.2691435041,-0.2738477731
2.7639,-0.08885686791,-0.2267565853,-0.2574214548,-0.2648278392,-0.2684887384,-0.2731086756
2.78055,-0.08868176811,-0.2264413728,-0.2565894001,-0.2641007352,-0.2677394839,-0.2722812795
2.7972,-0.08847759911,-0.2260567917,-0.2557054017,-0.2633079313,-0.266926762,-0.2713994364
2.81385,-0.08825277329,-0.2256183191,-0.2548029851,-0.2624800194,-0.2660817884,-0.2704965533
2.8305,-0.08801593845,-0.225142319,-0.2539139204,-0.2616468214,-0.2652348297,-0.2696044071
2.84715,-0.08777565303,-0.2246454389,-0.2530671992,-0.2608363672,-0.2644141781,-0.268752113
2.8638,-0.08754008455,-0.2241440346,-0.2522881961,-0.2600740139,-0.263645275,-0.2679652727
2.88045,-0.08731674105,-0.2236536422,-0.2515980313,-0.2593817258,-0.2629500043,-0.2672653208
2.8971,-0.08711224342,-0.2231885123,-0.2510131391,-0.2587775304,-0.262346167,-0.2666690741
2.91375,-0.08693214434,-0.2227612168,-0.2505450399,-0.2582751548,-0.2618471419,-0.2661884837
2.9304,-0.08678079727,-0.2223823372,-0.2502003069,-0.2578838413,-0.2614617268,-0.2658305795
2.94705,-0.08666127692,-0.2220602386,-0.2499807101,-0.2576083337,-0.2611941539,-0.2655975934
2.9637,-0.08657535057,-0.2218009296,-0.2498835172,-0.257449022,-0.2610442626,-0.2654872401
2.98035,-0.08652349803,-0.2216080101,-0.2499019287,-0.2574022279,-0.2610078124,-0.2654931331
2.997,-0.08650497615,-0.2214826988,-0.2500256201,-0.2574606112,-0.2610769147,-0.2656053117
3.01365,-0.08651792289,-0.2214239379,-0.2502413643,-0.2576136746,-0.2612405593,-0.2658108498
3.0303,-0.08655949445,-0.2214285654,-0.250533707,-0.257848343,-0.2614852129,-0.2660945226
3.04695,-0.08662602873,-0.2214915454,-0.2508856681,-0.2581495926,-0.2617954619,-0.2664395016
3.0636,-0.08671322733,-0.2216062459,-0.2512794432,-0.2585011047,-0.2621546769,-0.2668280552
3.08025,-0.08681634875,-0.2217647531,-0.2516970825,-0.2588859219,-0.2625456742,-0.2672422288
3.0969,-0.08693040492,-0.2219582084,-0.2521211251,-0.2592870827,-0.2629513526,-0.2676644844
3.11355,-0.08705035408,-0.2221771579,-0.2525351715,-0.259688215,-0.2633552848,-0.2680782814
3.1302,-0.08717128325,-0.2224119012,-0.2529243781,-0.2600740717,-0.2637422471,-0.2684685817
3.14685,-0.08728857449,-0.2226528278,-0.2532758643,-0.2604309915,-0.2640986724,-0.2688222682
3.1635,-0.08739804999,-0.2228907318,-0.2535790219,-0.2607472755,-0.2644130165,-0.2691284683
3.18015,-0.08749609214,-0.2231170946,-0.2538257247,-0.2610134709,-0.2646760291,-0.2693787761
3.1968,-0.08757973582,-0.2233243289,-0.2540104367,-0.2612225571,-0.2648809272,-0.2695673743
3.21345,-0.08764673134,-0.2235059761,-0.254130222,-0.2613700335,-0.2650234696,-0.2696910561
3.2301,-0.08769557745,-0.223656855,-0.2541846624,-0.2614539129,-0.2651019369,-0.269749154
3.24675,-0.08772552535,-0.2237731575,-0.254175692,-0.2614746244,-0.265117022,-0.269743383
3.2634,-0.08773655512,-0.2238524926,-0.2541073597,-0.2614348372,-0.265071643,-0.2696776113
3.28005,-0.08772932734,-0.2238938787,-0.2539855338,-0.261339214,-0.2649706866,-0.2695575688
3.2967,-0.0877051132,-0.2238976885,-0.2538175623,-0.26119411,-0.2648207001,-0.2693905107
3.31335,-0.08766570717,-0.2238655507,-0.2536119048,-0.2610072298,-0.2646295422,-0.2691848501
3.33,-0.08761332647,-0.223800215,-0.2533777524,-0.2607872592,-0.264406012,-0.2689497755
3.34665,-0.08755050205,-0.2237053871,-0.2531246474,-0.2605434859,-0.2641594683,-0.2686948688
3.3633,-0.08747996562,-0.2235855413,-0.2528621207,-0.2602854252,-0.2638994561,-0.2684297361
3.37995,-0.08740453728,-0.2234457192,-0.2525993547,-0.2600224629,-0.263635352,-0.2681636664
3.3966,-0.08732701778,-0.2232913222,-0.252344885,-0.2597635276,-0.2633760413,-0.2679053253
3.41325,-0.08725008914,-0.2231279044,-0.2521063476,-0.2595168035,-0.2631296348,-0.2676624951
3.4299,-0.08717622662,-0.2229609756,-0.2518902757,-0.2592894891,-0.2629032353,-0.2674418651
3.44655,-0.08710762468,-0.222795817,-0.2517019532,-0.2590876095,-0.2627027551,-0.2672488763
3.4632,-0.08704613832,-0.2226373186,-0.2515453208,-0.258915884,-0.2625327908,-0.2670876226
3.47985,-0.08699324119,-0.222489839,-0.2514229385,-0.2587776492,-0.2623965531,-0.2669608058
3.4965,-0.08695000048,-0.2223570945,-0.2513359983,-0.258674838,-0.2622958513,-0.2668697438
3.51315,-0.08691706844,-0.2222420756,-0.2512843842,-0.2586080092,-0.2622311291,-0.2668144263
3.5298,-0.0868946895,-0.2221469944,-0.2512667726,-0.258576425,-0.2622015451,-0.2667936127
3.54645,-0.08688272167,-0.222073262,-0.2512807688,-0.2585781683,-0.2622050947,-0.266804966
3.5631,-0.08688067018,-0.2220214941,-0.2513230685,-0.2586102935,-0.2622387631,-0.2668452146
3.57975,-0.08688773142,-0.221991543,-0.2513896409,-0.2586690043,-0.2622987035,-0.2669103349
3.5964,-0.08690284463,-0.2219825535,-0.2514759218,-0.2587498475,-0.2623804326,-0.2669957466
3.61305,-0.08692474898,-0.2219930388,-0.2515770119,-0.258847918,-0.2624790337,-0.2670965132
3.6297,-0.08695204347,-0.2220209723,-0.251687872,-0.2589580646,-0.2625893621,-0.26720754
3.64635,-0.08698324737,-0.2220638926,-0.2518035084,-0.2590750904,-0.2627062425,-0.2673237634
3.663,-0.08701685886,-0.2221190146,-0.2519191438,-0.2591939407,-0.2628246551,-0.2674403256
3.67965,-0.08705141002,-0.2221833452,-0.2520303677,-0.259309873,-0.2629399022,-0.2675527291
3.6963,-0.08708551637,-0.2222537982,-0.2521332634,-0.2594186038,-0.2630477522,-0.267656968
3.71295,-0.08711791957,-0.2223273043,-0.2522245087,-0.2595164286,-0.2631445565,-0.2677496322
3.7296,-0.08714752246,-0.2224009132,-0.2523014484,-0.2596003138,-0.2632273379,-0.2678279836
3.74625,-0.08717341548,-0.2224718851,-0.2523621383,-0.2596679565,-0.2632938487,-0.2678900035
3.7629,-0.08719489448,-0.2225377689,-0.2524053614,-0.259717816,-0.2633425986,-0.2679344107
3.77955,-0.08721146973,-0.2225964648,-0.2524306173,-0.2597491138,-0.2633728538,-0.267960653
3.7962,-0.08722286656,-0.2226462713,-0.252438087,-0.2597618077,-0.2633846091,-0.2679688733
3.81285,-0.08722901835,-0.2226859151,-0.2524285769,-0.2597565402,-0.2633785353,-0.267959854
3.8295,-0.08723005251,-0.2227145649,-0.2524034443,-0.2597345666,-0.263355907,-0.2679349423
3.84615,-0.08722627076,-0.2227318284,-0.2523645095,-0.2596976654,-0.263318513,-0.2678959617
3.8628,-0.0872181246,-0.2227377354,-0.2523139571,-0.2596480367,-0.263268555,-0.2678451122
3.87945,-0.08720618752,-0.2227327075,-0.252254233,-0.2595881924,-0.2632085387,-0.2677848651
3.8961,-0.08719112495,-0.2227175158,-0.2521879382,-0.2595208431,-0.2631411615,-0.2677178557
3.91275,-0.08717366338,-0.222693231,-0.2521177262,-0.2594487856,-0.2630692018,-0.267646778
3.9294,-0.08715455978,-0.2226611659,-0.2520462053,-0.2593747955,-0.262995413,-0.2675742847
3.94605,-0.08713457237,-0.2226228134,-0.2519758498,-0.2593015291,-0.2629224261,-0.2675028968
3.9627,-0.08711443373,-0.222579784,-0.2519089228,-0.2592314354,-0.2628526642,-0.2674349236
3.97935,-0.08709482701,-0.2225337422,-0.2518474118,-0.259166683,-0.2627882706,-0.2673723965
3.996,-0.08707636579,-0.2224863468,-0.2517929785,-0.2591091021,-0.2627310512,-0.2673170176
4.01265,-0.08705957809,-0.2224391945,-0.2517469245,-0.2590601431,-0.2626824352,-0.2672701235
4.0293,-0.08704489469,-0.2223937708,-0.2517101716,-0.2590208517,-0.2626434504,-0.2672326647
4.04595,-0.0870326419,-0.2223514068,-0.251683257,-0.2589918608,-0.2626147159,-0.2672052002
4.0626,-0.08702303855,-0.2223132458,-0.2516663428,-0.2589733977,-0.2625964493,-0.2671879062
4.07925,-0.08701619703,-0.2222802169,-0.2516592372,-0.2589653055,-0.2625884885,-0.2671805983
4.0959,-0.08701212804,-0.2222530194,-0.2516614275,-0.2589670766,-0.2625903249,-0.2671827635
4.11255,-0.08701074846,-0.2222321151,-0.2516721215,-0.258977897,-0.2626011472,-0.2671936031
4.1292,-0.08701189185,-0.2222177294,-0.2516902952,-0.2589966974,-0.2626198925,-0.2672120809
4.14585,-0.08701532107,-0.2222098603,-0.2517147467,-0.259022211,-0.2626453027,-0.2672369778
4.1625,-0.08702074223,-0.2222082947,-0.2517441504,-0.2590530334,-0.262675984,-0.2672669477
4.17915,-0.08702781954,-0.2222126305,-0.2517771135,-0.2590876828,-0.262710467,-0.2673005743
4.1958,-0.08703619027,-0.2222223034,-0.2518122294,-0.25912466,-0.2627472646,-0.2673364266
4.21245,-0.08704547952,-0.2222366173,-0.2518481284,-0.2591625027,-0.2627849269,-0.2673731098
4.2291,-0.0870553141,-0.2222547773,-0.2518835231,-0.2591998361,-0.2628220906,-0.2674093125
4.24575,-0.0870653352,-0.2222759233,-0.2519172479,-0.2592354157,-0.262857521,-0.2674438468
4.2624,-0.08707520951,-0.2222991636,-0.2519482908,-0.2592681625,-0.2628901474,-0.2674756808
4.27905,-0.08708463854,-0.222323607,-0.251975818,-0.2592971894,-0.2629190888,-0.2675039639
4.2957,-0.0870933659,-0.2223483927,-0.2519991903,-0.2593218194,-0.2629436719,-0.2675280434
4.31235,-0.08710118258,-0.2223727168,-0.2520179707,-0.2593415935,-0.2629634394,-0.2675474732
4.329,-0.08710793013,-0.2223958556,-0.2520319254,-0.2593562715,-0.2629781503,-0.2675620135
4.34565,-0.08711350181,-0.2224171834,-0.2520410167,-0.2593658237,-0.2629877724,-0.2675716248
4.3623,-0.0871178419,-0.2224361868,-0.2520453896,-0.2593704161,-0.2629924672,-0.2675764534
4.37895,-0.08712094327,-0.2224524734,-0.2520453532,-0.2593703895,-0.2629925699,-0.2675768131
4.3956,-0.08712284357,-0.2224657763,-0.252041357,-0.2593662337,-0.2629885634,-0.2675731603
4.41225,-0.08712362011,-0.2224759534,-0.2520339646,-0.2593585579,-0.2629810499,-0.2675660681
