Time,del_2,del_3,del_6,del_8,del_10,del_13
3.47985,-0.08512051121,-0.2180999784,-0.2377996751,-0.7474676868,-0.2521959097,-0.2513555786
3.4965,-0.08512209779,-0.2181001718,-0.2378054752,-0.7474826845,-0.2522032393,-0.2513617392
3.51315,-0.08512353741,-0.2181009938,-0.2378097015,-0.7474953912,-0.2522092374,-0.2513663657
3.5298,-0.08512467528,-0.2181020341,-0.2378120016,-0.7475050327,-0.2522134502,-0.251369091
3.54645,-0.08512538166,-0.218102911,-0.2378120838,-0.7475110093,-0.2522155298,-0.2513696059
3.5631,-0.08512555446,-0.2181032821,-0.2378098072,-0.7475129061,-0.2522152381,-0.2513677567
3.57975,-0.08512512072,-0.2181028532,-0.2378050908,-0.7475104961,-0.2522124482,-0.2513634475
3.5964,-0.08512403685,-0.2181013848,-0.2377979953,-0.7475037357,-0.2522071404,-0.2513567305
3.61305,-0.08512228795,-0.2180986964,-0.237788627,-0.7474927543,-0.2521993951,-0.2513477019
3.6297,-0.08511988609,-0.2180946686,-0.2377772136,-0.7474778372,-0.252189383,-0.2513365857
3.64635,-0.08511686778,-0.2180892428,-0.2377640038,-0.747459405,-0.2521773519,-0.2513236257
3.663,-0.08511329083,-0.2180824192,-0.2377493398,-0.7474379883,-0.2521636125,-0.2513091659
3.67965,-0.08510923067,-0.218074252,-0.2377335555,-0.7474142009,-0.2521485225,-0.2512935401
3.6963,-0.08510477633,-0.2180648448,-0.2377170483,-0.7473887109,-0.2521324705,-0.2512771516
3.71295,-0.08510002628,-0.2180543427,-0.2377001769,-0.7473622124,-0.2521158595,-0.2512603632
3.7296,-0.08509508428,-0.2180429252,-0.2376833352,-0.747335398,-0.2520990915,-0.2512435779
3.74625,-0.0850900553,-0.218030797,-0.2376668525,-0.7473089326,-0.252082553,-0.251227131
3.7629,-0.08508504177,-0.21801818,-0.2376510697,-0.747283431,-0.2520666021,-0.2512113741
3.77955,-0.08508014022,-0.218005304,-0.2376362437,-0.7472594383,-0.2520515579,-0.2511965706
3.7962,-0.08507543833,-0.2179923985,-0.2376226274,-0.7472374143,-0.2520376913,-0.2511829838
3.81285,-0.08507101258,-0.217979685,-0.2376103785,-0.7472177221,-0.2520252193,-0.2511707771
3.8295,-0.08506692644,-0.2179673699,-0.2375996433,-0.7472006215,-0.2520143005,-0.2511601057
3.84615,-0.08506322912,-0.2179556383,-0.2375904705,-0.7471862664,-0.2520050339,-0.2511510218
3.8628,-0.08505995501,-0.2179446497,-0.2375828985,-0.747174706,-0.2519974594,-0.2511435702
3.87945,-0.08505712355,-0.2179345336,-0.2375768731,-0.7471658907,-0.2519915607,-0.2511376975
3.8961,-0.08505473974,-0.2179253879,-0.2375723377,-0.7471596802,-0.2519872697,-0.2511333507
3.91275,-0.08505279505,-0.217917277,-0.2375691539,-0.7471558555,-0.251984473,-0.2511303894
3.9294,-0.08505126873,-0.2179102325,-0.2375671941,-0.7471541323,-0.2519830188,-0.2511286869
3.94605,-0.08505012942,-0.217904254,-0.2375662632,-0.7471541761,-0.2519827252,-0.2511280438
3.9627,-0.0850493371,-0.2178993113,-0.2375661921,-0.747155618,-0.2519833889,-0.2511282898
3.97935,-0.08504884502,-0.2178953476,-0.2375667602,-0.7471580711,-0.251984794,-0.2511291981
3.996,-0.08504860187,-0.217892283,-0.2375677878,-0.7471611459,-0.2519867205,-0.2511305866
4.01265,-0.08504855383,-0.217890019,-0.2375690586,-0.7471644651,-0.2519889524,-0.2511322321
4.0293,-0.08504864658,-0.2178884429,-0.2375704104,-0.7471676765,-0.2519912854,-0.2511339697
4.04595,-0.0850488272,-0.2178874323,-0.2375716562,-0.7471704645,-0.2519935326,-0.2511356054
4.0626,-0.0850490458,-0.2178868603,-0.237572673,-0.7471725593,-0.2519955307,-0.2511370139
4.07925,-0.085049257,-0.2178865997,-0.2375733207,-0.7471737432,-0.2519971435,-0.2511380492
4.0959,-0.08504942107,-0.2178865274,-0.2375735287,-0.7471738553,-0.2519982648,-0.2511386392
4.11255,-0.08504950484,-0.2178865279,-0.2375732125,-0.7471727934,-0.2519988199,-0.2511386949
4.1292,-0.08504948226,-0.217886497,-0.2375723585,-0.7471705131,-0.2519987661,-0.2511382025
4.14585,-0.08504933472,-0.2178863441,-0.237570938,-0.7471670256,-0.2519980914,-0.2511371304
4.1625,-0.08504905109,-0.2178859941,-0.2375689901,-0.747162393,-0.2519968128,-0.2511355192
4.17915,-0.08504862743,-0.2178853892,-0.2375665348,-0.7471567221,-0.2519949732,-0.2511333871
4.1958,-0.08504806659,-0.2178844892,-0.2375636538,-0.7471501573,-0.251992638,-0.2511308186
4.21245,-0.08504737748,-0.2178832714,-0.2375604026,-0.7471428722,-0.251989891,-0.2511278688
4.2291,-0.08504657433,-0.2178817302,-0.2375568907,-0.7471350606,-0.2519868296,-0.2511246509
4.24575,-0.08504567569,-0.2178798762,-0.2375531939,-0.7471269283,-0.2519835603,-0.2511212405
4.2624,-0.08504470348,-0.2178777338,-0.237549433,-0.7471186836,-0.251980194,-0.251117763
4.27905,-0.0850436819,-0.2178753403,-0.2375456873,-0.7471105296,-0.2519768416,-0.251114298
4.2957,-0.0850426364,-0.2178727428,-0.2375420741,-0.747102657,-0.2519736097,-0.2511109668
4.31235,-0.08504159271,-0.2178699962,-0.2375386617,-0.7470952372,-0.2519705973,-0.2511078379
4.329,-0.08504057587,-0.2178671606,-0.2375355504,-0.7470884176,-0.251967892,-0.2511050156
4.34565,-0.08503960941,-0.2178642988,-0.2375327872,-0.7470823175,-0.2519655682,-0.2511025462
4.3623,-0.08503871462,-0.2178614737,-0.2375304469,-0.7470770257,-0.2519636849,-0.2511005078
4.37895,-0.08503791,-0.2178587464,-0.237528548,-0.747072599,-0.2519622848,-0.2510989178
4.3956,-0.08503721075,-0.2178561741,-0.2375271359,-0.7470690627,-0.2519613936,-0.2510978239
4.41225,-0.08503662854,-0.2178538082,-0.2375261996,-0.7470664117,-0.2519610207,-0.251097213
