Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
2.41425,1.047569501,1.013009546,1.077876199,1.094260921,1.038756987,1.056367718
2.4309,1.047583019,1.013017634,1.077887396,1.094276929,1.038767608,1.056378921
2.44755,1.047601547,1.013030919,1.077907955,1.094299297,1.038785924,1.056399238
2.4642,1.047625398,1.013049991,1.077938114,1.094328365,1.038812396,1.05642896
2.48085,1.047654674,1.013075195,1.07797773,1.094364185,1.038847144,1.056468004
2.4975,1.047689271,1.013106637,1.078026286,1.094406542,1.038889965,1.056515914
2.51415,1.047728896,1.013144192,1.078082967,1.094454977,1.038940359,1.056571937
2.5308,1.047773088,1.013187524,1.078146679,1.094508817,1.038997573,1.05663504
2.54745,1.047821245,1.01323611,1.078216149,1.09456722,1.039060637,1.056704003
2.5641,1.047872654,1.013289264,1.078289953,1.094629212,1.039128422,1.056777445
2.58075,1.047926522,1.013346179,1.078366607,1.094693735,1.039199686,1.05685392
2.5974,1.047982012,1.013405953,1.078444602,1.09475969,1.039273128,1.056931943
2.61405,1.048038271,1.013467631,1.078522486,1.09482598,1.039347439,1.057010075
2.6307,1.048094464,1.013530236,1.078598883,1.094891553,1.039421348,1.057086944
2.64735,1.048149798,1.013592806,1.078672567,1.09495543,1.039493659,1.057161317
2.664,1.048203551,1.013654421,1.07874246,1.09501674,1.039563297,1.057232098
2.68065,1.048255088,1.013714235,1.078807693,1.095074741,1.039629325,1.057298396
2.6973,1.048303878,1.013771496,1.078867587,1.095128834,1.039690976,1.057359498
2.71395,1.048349503,1.013825564,1.078921692,1.095178578,1.039747662,1.05741492
2.7306,1.04839167,1.013875927,1.078969757,1.095223691,1.039798982,1.057464371
2.74725,1.048430204,1.013922209,1.079011751,1.09526405,1.039844728,1.057507782
2.7639,1.048465053,1.013964172,1.079047819,1.095299682,1.039884872,1.05754526
2.78055,1.048496277,1.014001717,1.079078294,1.095330756,1.03991956,1.057577101
2.7972,1.048524038,1.014034876,1.079103642,1.095357563,1.039949094,1.057603737
2.81385,1.048548591,1.014063805,1.079124463,1.095380503,1.039973909,1.057625743
2.8305,1.048570263,1.014088771,1.079141434,1.095400059,1.039994554,1.057643771
2.84715,1.048589442,1.014110133,1.079155306,1.095416778,1.040011662,1.05765856
2.8638,1.048606557,1.014128326,1.079166845,1.095431248,1.040025922,1.057670865
2.88045,1.048622059,1.014143845,1.079176832,1.095444073,1.040038056,1.057681467
2.8971,1.048636406,1.014157218,1.079186007,1.095455852,1.040048784,1.057691108
2.91375,1.048650043,1.014168992,1.079195072,1.095467157,1.040058808,1.057700501
2.9304,1.048663394,1.014179711,1.079204641,1.095478517,1.040068779,1.057710277
2.94705,1.048676838,1.014189897,1.079215255,1.095490399,1.040079285,1.057720994
2.9637,1.04869071,1.014200035,1.079227339,1.095503199,1.04009083,1.057733098
2.98035,1.048705282,1.014210561,1.079241221,1.095517228,1.040103822,1.057746944
2.997,1.048720766,1.014221845,1.079257105,1.095532711,1.040118568,1.057762758
3.01365,1.048737303,1.014234189,1.079275095,1.09554978,1.040135265,1.057780669
3.0303,1.04875497,1.014247817,1.079295177,1.095568479,1.040154005,1.057800684
3.04695,1.048773776,1.014262873,1.07931725,1.095588769,1.040174774,1.057822725
3.0636,1.048793669,1.014279421,1.079341116,1.09561053,1.040197466,1.057846607
3.08025,1.048814541,1.014297452,1.079366514,1.095633578,1.040221887,1.057872087
3.0969,1.048836236,1.014316884,1.079393113,1.09565767,1.040247773,1.05789884
3.11355,1.048858561,1.014337572,1.079420556,1.095682521,1.040274799,1.057926514
3.1302,1.048881292,1.014359317,1.079448442,1.095707816,1.040302601,1.057954712
3.14685,1.048904186,1.014381876,1.079476379,1.095733226,1.040330788,1.057983037
3.1635,1.04892699,1.014404974,1.079503962,1.095758416,1.040358957,1.058011079
3.18015,1.048949452,1.014428314,1.079530822,1.095783062,1.040386712,1.05803846
3.1968,1.048971329,1.01445159,1.079556607,1.095806861,1.040413675,1.058064815
3.21345,1.048992396,1.014474499,1.079581017,1.09582954,1.040439498,1.058089833
3.2301,1.04901245,1.014496748,1.07960379,1.095850863,1.040463875,1.058113236
3.24675,1.04903132,1.014518067,1.079624729,1.095870638,1.040486551,1.058134814
3.2634,1.049048866,1.014538212,1.079643683,1.095888722,1.040507322,1.058154398
3.28005,1.049064987,1.014556979,1.07966057,1.095905019,1.040526047,1.058171897
3.2967,1.049079616,1.014574199,1.079675352,1.095919483,1.040542641,1.058187257
3.31335,1.049092725,1.014589752,1.079688061,1.095932117,1.04055708,1.058200501
3.33,1.049104322,1.014603557,1.07969876,1.095942967,1.040569394,1.058211683
3.34665,1.049114446,1.014615581,1.079707572,1.095952119,1.040579667,1.05822092
3.3633,1.049123167,1.014625834,1.079714642,1.095959692,1.040588023,1.058228352
3.37995,1.049130578,1.014634364,1.079720158,1.095965836,1.040594628,1.058234166
3.3966,1.049136795,1.014641256,1.07972431,1.095970717,1.040599676,1.058238554
3.41325,1.049141946,1.014646626,1.07972732,1.095974519,1.040603379,1.05824174
3.4299,1.049146169,1.014650614,1.079729397,1.09597743,1.040605964,1.058243936
3.44655,1.049149609,1.014653379,1.07973076,1.095979637,1.040607661,1.05824537
3.4632,1.049152407,1.014655093,1.079731604,1.095981321,1.040608694,1.058246244
3.47985,1.049154698,1.014655933,1.079732124,1.095982651,1.040609275,1.05824676
3.4965,1.04915661,1.014656077,1.079732476,1.095983778,1.040609599,1.058247082
3.51315,1.049158257,1.014655696,1.079732808,1.095984829,1.040609835,1.058247369
3.5298,1.049159735,1.014654949,1.079733224,1.095985911,1.040610126,1.05824773
3.54645,1.049161124,1.014653982,1.079733813,1.095987101,1.040610583,1.058248265
3.5631,1.049162485,1.01465292,1.07973462,1.095988453,1.040611284,1.058249025
3.57975,1.049163858,1.014651866,1.079735677,1.09598999,1.040612276,1.058250046
3.5964,1.049165265,1.014650901,1.079736972,1.095991714,1.040613573,1.058251321
3.61305,1.049166708,1.014650079,1.079738483,1.095993602,1.040615161,1.058252833
3.6297,1.049168173,1.014649433,1.079740152,1.09599561,1.040616998,1.058254523
3.64635,1.049169632,1.01464897,1.079741919,1.095997678,1.040619019,1.058256332
3.663,1.049171043,1.014648675,1.079743692,1.095999733,1.040621141,1.058258167
3.67965,1.049172355,1.014648516,1.079745386,1.096001693,1.040623267,1.058259943
3.6963,1.049173509,1.014648441,1.079746897,1.09600347,1.04062529,1.05826155
3.71295,1.049174443,1.014648387,1.079748131,1.096004973,1.040627099,1.058262893
3.7296,1.049175092,1.014648279,1.079748985,1.096006116,1.040628584,1.058263862
3.74625,1.049175393,1.014648037,1.079749374,1.096006816,1.040629637,1.058264371
3.7629,1.049175286,1.014647575,1.079749209,1.096007,1.040630161,1.058264323
3.77955,1.049174719,1.01464681,1.079748428,1.096006603,1.040630068,1.058263652
3.7962,1.049173644,1.014645662,1.079746963,1.096005576,1.040629286,1.058262288
3.81285,1.049172024,1.014644055,1.079744781,1.096003879,1.040627757,1.058260193
3.8295,1.049169829,1.014641923,1.079741845,1.09600149,1.040625441,1.058257326
3.84615,1.049167043,1.01463921,1.079738152,1.095998399,1.040622316,1.058253683
3.8628,1.049163657,1.014635872,1.079733695,1.09599461,1.040618377,1.058249253
3.87945,1.049159674,1.014631878,1.0797285,1.09599014,1.040613634,1.058244064
3.8961,1.049155104,1.01462721,1.079722588,1.095985017,1.040608116,1.058238133
3.91275,1.049149969,1.014621862,1.079716007,1.095979279,1.040601861,1.058231511
3.9294,1.049144296,1.014615842,1.079708798,1.095972972,1.040594921,1.058224239
3.94605,1.049138119,1.01460917,1.079701026,1.09596615,1.040587357,1.058216384
3.9627,1.049131477,1.014601875,1.079692743,1.095958868,1.040579235,1.058208
3.97935,1.049124413,1.014593995,1.079684023,1.095951184,1.040570627,1.058199161
3.996,1.04911697,1.014585578,1.079674918,1.095943156,1.040561604,1.058189925
4.01265,1.049109193,1.014576675,1.079665502,1.09593484,1.040552237,1.058180368
4.0293,1.049101125,1.014567341,1.079655824,1.095926289,1.040542594,1.058170539
4.04595,1.04909281,1.014557632,1.079645947,1.09591755,1.040532737,1.058160507
4.0626,1.049084285,1.014547605,1.079635911,1.095908666,1.040522722,1.058150312
4.07925,1.049075584,1.014537316,1.079625765,1.095899671,1.040512596,1.058140006
4.0959,1.049066739,1.014526816,1.079615534,1.095890593,1.040502399,1.058129614
4.11255,1.049057773,1.014516152,1.079605251,1.095881451,1.04049216,1.058119175
4.1292,1.049048708,1.014505366,1.079594925,1.095872259,1.040481899,1.058108694
4.14585,1.049039556,1.014494492,1.079584574,1.095863023,1.040471627,1.058098192
4.1625,1.049030328,1.01448356,1.079574191,1.095853741,1.040461347,1.058087662
