Time,W2,W3,W6,W8
4.77855,377.4687336,377.4701355,377.4696325,377.4698133
4.7952,377.4672287,377.4686041,377.468115,377.4683019
4.81185,377.4657006,377.4670554,377.4665695,377.4667539
4.8285,377.4641498,377.4654889,377.4649966,377.4651704
4.84515,377.4625768,377.4639039,377.4633966,377.4635531
4.8618,377.4609821,377.4622997,377.4617705,377.4619041
4.87845,377.4593664,377.4606755,377.4601191,377.4602256
4.8951,377.45773,377.4590309,377.4584436,377.4585204
4.91175,377.4560737,377.4573653,377.4567452,377.4567911
4.9284,377.454398,377.4556782,377.4550251,377.4550404
4.94505,377.4527034,377.4539696,377.4532847,377.453271
4.9617,377.4509905,377.4522394,377.4515255,377.4514854
4.97835,377.4492601,377.4504877,377.4497487,377.449686
4.995,377.4475126,377.4487148,377.4479557,377.4478748
5.01165,377.4457487,377.4469213,377.4461478,377.4460535
5.0283,377.4439689,377.4451077,377.4443261,377.4442237
5.04495,377.442174,377.4432749,377.4424918,377.4423863
5.0616,377.4403644,377.4414238,377.4406457,377.4405423
5.07825,377.4385408,377.4395553,377.4387886,377.4386919
5.0949,377.4367038,377.4376707,377.4369213,377.4368354
5.11155,377.4348539,377.4357711,377.4350443,377.4349726
5.1282,377.4329915,377.4338576,377.4331581,377.4331032
5.14485,377.4311173,377.4319313,377.4312629,377.4312267
5.1615,377.4292318,377.4299935,377.429359,377.4293425
5.17815,377.4273354,377.4280453,377.4274464,377.4274498
5.1948,377.4254285,377.4260875,377.4255252,377.4255479
5.21145,377.4235116,377.4241213,377.4235955,377.4236362
5.2281,377.4215852,377.4221474,377.4216571,377.421714
5.24475,377.4196495,377.4201666,377.41971,377.4197808
5.2614,377.4177051,377.4181796,377.4177543,377.4178363
5.27805,377.4157522,377.4161869,377.4157898,377.4158801
5.2947,377.4137912,377.4141889,377.4138166,377.4139124
5.31135,377.4118225,377.4121859,377.4118348,377.4119331
5.328,377.4098465,377.4101783,377.4098445,377.4099425
5.34465,377.4078635,377.4081663,377.4078459,377.4079413
5.3613,377.4058738,377.4061499,377.4058393,377.4059298
5.37795,377.4038779,377.4041293,377.403825,377.403909
5.3946,377.401876,377.4021045,377.4018035,377.4018797
5.41125,377.3998686,377.4000755,377.3997751,377.3998427
5.4279,377.397856,377.3980424,377.3977406,377.3977991
5.44455,377.3958387,377.3960051,377.3957003,377.39575
5.4612,377.3938169,377.3939639,377.393655,377.3936962
5.47785,377.3917912,377.3919187,377.3916053,377.3916389
5.4945,377.3897618,377.3898696,377.3895518,377.3895789
5.51115,377.3877293,377.3878169,377.3874953,377.3875172
5.5278,377.385694,377.3857607,377.3854362,377.3854545
5.54445,377.3836563,377.3837014,377.3833754,377.3833916
5.5611,377.3816166,377.3816391,377.3813133,377.381329
5.57775,377.3795754,377.3795743,377.3792506,377.3792673
5.5944,377.3775329,377.3775073,377.3771878,377.3772068
5.61105,377.3754897,377.3754386,377.3751252,377.3751479
5.6277,377.3734461,377.3733687,377.3730635,377.3730907
5.64435,377.3714024,377.371298,377.3710028,377.3710355
5.661,377.3693589,377.369227,377.3689437,377.3689822
5.67765,377.3673161,377.3671562,377.3668862,377.366931
5.6943,377.3652743,377.3650861,377.3648308,377.3648818
5.71095,377.3632337,377.3630173,377.3627775,377.3628346
5.7276,377.3611947,377.3609502,377.3607265,377.3607893
5.74425,377.3591575,377.3588853,377.3586781,377.3587459
5.7609,377.3571224,377.3568231,377.3566323,377.3567045
5.77755,377.3550898,377.3547638,377.3545892,377.3546649
5.7942,377.3530598,377.3527081,377.352549,377.3526274
5.81085,377.3510327,377.3506561,377.3505117,377.350592
5.8275,377.3490087,377.3486082,377.3484776,377.3485587
5.84415,377.3469882,377.3465648,377.3464468,377.346528
5.8608,377.3449713,377.344526,377.3444194,377.3444998
5.87745,377.3429582,377.3424921,377.3423956,377.3424747
5.8941,377.3409493,377.3404634,377.3403756,377.3404528
5.91075,377.3389447,377.3384399,377.3383596,377.3384345
5.9274,377.3369447,377.3364219,377.336348,377.3364203
5.94405,377.3349495,377.3344095,377.3343409,377.3344105
5.9607,377.3329594,377.3324029,377.3323386,377.3324055
5.97735,377.3309745,377.3304022,377.3303414,377.3304057
5.994,377.3289952,377.3284075,377.3283498,377.3284117
6.01065,377.3270217,377.3264189,377.3263638,377.3264236
6.0273,377.3250542,377.3244367,377.324384,377.3244421
6.04395,377.3230929,377.3224609,377.3224105,377.3224673
6.0606,377.3211381,377.3204917,377.3204437,377.3204997
6.07725,377.3191901,377.3185292,377.3184839,377.3185395
6.0939,377.3172489,377.3165736,377.3165314,377.3165871
6.11055,377.3153149,377.3146251,377.3145865,377.3146426
6.1272,377.3133882,377.312684,377.3126494,377.3127062
6.14385,377.3114692,377.3107502,377.3107203,377.3107782
6.1605,377.3095579,377.3088242,377.3087995,377.3088586
6.17715,377.3076545,377.3069061,377.3068871,377.3069477
6.1938,377.3057593,377.304996,377.3049834,377.3050454
6.21045,377.3038724,377.3030943,377.3030884,377.303152
6.2271,377.3019941,377.3012011,377.3012024,377.3012675
6.24375,377.3001243,377.2993167,377.2993255,377.2993918
6.2604,377.2982634,377.2974412,377.2974578,377.2975252
6.27705,377.2964115,377.2955749,377.2955993,377.2956677
6.2937,377.2945687,377.293718,377.2937502,377.2938192
6.31035,377.2927352,377.2918706,377.2919106,377.29198
6.327,377.290911,377.290033,377.2900806,377.2901501
6.34365,377.2890964,377.2882052,377.2882602,377.2883296
6.3603,377.2872915,377.2863876,377.2864496,377.2865185
6.37695,377.2854963,377.2845802,377.2846488,377.2847171
6.3936,377.2837111,377.2827831,377.282858,377.2829254
6.41025,377.2819359,377.2809966,377.2810772,377.2811436
6.4269,377.2801709,377.2792206,377.2793066,377.2793718
6.44355,377.2784161,377.2774554,377.2775462,377.2776101
6.4602,377.2766718,377.275701,377.2757962,377.2758588
6.47685,377.2749379,377.2739575,377.2740568,377.274118
6.4935,377.2732147,377.272225,377.272328,377.2723878
6.51015,377.2715022,377.2705036,377.2706099,377.2706684
6.5268,377.2698005,377.2687934,377.2689028,377.26896
6.54345,377.2681099,377.2670944,377.2672066,377.2672627
6.5601,377.2664302,377.2654067,377.2655217,377.2655767
6.57675,377.2647617,377.2637304,377.263848,377.2639021
6.5934,377.2631045,377.2620656,377.2621858,377.262239
6.61005,377.2614587,377.2604122,377.260535,377.2605875
6.6267,377.2598242,377.2587705,377.2588959,377.2589477
6.64335,377.2582013,377.2571405,377.2572685,377.2573198
6.66,377.25659,377.2555221,377.255653,377.2557038
6.67665,377.2549904,377.2539156,377.2540494,377.2540998
6.6933,377.2534026,377.252321,377.2524578,377.2525078
6.70995,377.2518265,377.2507383,377.2508783,377.2509279
6.7266,377.2502624,377.2491676,377.2493108,377.2493601
6.74325,377.2487103,377.247609,377.2477556,377.2478045
6.7599,377.2471701,377.2460625,377.2462126,377.246261
6.77655,377.2456421,377.2445283,377.2446819,377.2447298
6.7932,377.2441261,377.2430064,377.2431635,377.2432108
6.80985,377.2426224,377.2414967,377.2416574,377.2417041
6.8265,377.2411308,377.2399995,377.2401638,377.2402096
6.84315,377.2396516,377.2385148,377.2386825,377.2387275
6.8598,377.2381846,377.2370425,377.2372136,377.2372577
6.87645,377.2367299,377.2355828,377.2357571,377.2358002
6.8931,377.2352877,377.2341357,377.2343131,377.2343552
6.90975,377.2338578,377.2327012,377.2328816,377.2329225
6.9264,377.2324404,377.2312794,377.2314626,377.2315022
6.94305,377.2310354,377.2298702,377.2300561,377.2300945
6.9597,377.2296429,377.2284738,377.2286622,377.2286992
6.97635,377.228263,377.2270901,377.2272808,377.2273164
6.993,377.2268955,377.2257192,377.225912,377.2259462
7.00965,377.2255407,377.224361,377.2245558,377.2245887
7.0263,377.2241984,377.2230157,377.2232123,377.2232437
7.04295,377.2228687,377.2216831,377.2218814,377.2219114
7.0596,377.2215517,377.2203633,377.2205632,377.2205918
7.07625,377.2202472,377.2190564,377.2192577,377.219285
7.0929,377.2189554,377.2177622,377.2179649,377.2179908
7.10955,377.2176762,377.2164808,377.2166849,377.2167094
7.1262,377.2164097,377.2152123,377.2154176,377.2154408
7.14285,377.2151559,377.2139565,377.214163,377.214185
7.1595,377.2139146,377.2127135,377.2129213,377.2129419
7.17615,377.2126861,377.2114833,377.2116923,377.2117116
7.1928,377.2114702,377.2102659,377.210476,377.2104941
7.20945,377.2102669,377.2090612,377.2092726,377.2092894
7.2261,377.2090763,377.2078693,377.2080818,377.2080974
7.24275,377.2078983,377.2066902,377.2069039,377.2069182
7.2594,377.2067329,377.2055238,377.2057387,377.2057517
7.27605,377.2055802,377.20437,377.2045861,377.2045979
7.2927,377.20444,377.203229,377.2034463,377.2034567
7.30935,377.2033123,377.2021007,377.2023192,377.2023282
7.326,377.2021972,377.200985,377.2012046,377.2012123
7.34265,377.2010946,377.199882,377.2001027,377.200109
7.3593,377.2000045,377.1987916,377.1990134,377.1990182
7.37595,377.1989269,377.1977138,377.1979366,377.19794
7.3926,377.1978618,377.1966485,377.1968724,377.1968742
7.40925,377.196809,377.1955958,377.1958206,377.1958209
7.4259,377.1957686,377.1945556,377.1947812,377.19478
7.44255,377.1947406,377.1935279,377.1937543,377.1937514
7.4592,377.1937249,377.1925126,377.1927397,377.1927352
7.47585,377.1927214,377.1915097,377.1917375,377.1917313
7.4925,377.1917302,377.1905192,377.1907476,377.1907397
7.50915,377.1907513,377.189541,377.1897699,377.1897604
7.5258,377.1897845,377.1885751,377.1888044,377.1887932
7.54245,377.1888298,377.1876215,377.1878511,377.1878382
7.5591,377.1878872,377.18668,377.1869099,377.1868953
7.57575,377.1869567,377.1857507,377.1859808,377.1859645
7.5924,377.1860382,377.1848335,377.1850638,377.1850458
7.60905,377.1851316,377.1839284,377.1841588,377.1841391
7.6257,377.1842369,377.1830353,377.1832658,377.1832443
7.64235,377.1833542,377.1821541,377.1823846,377.1823614
7.659,377.1824832,377.1812849,377.1815154,377.1814905
7.67565,377.181624,377.1804275,377.180658,377.1806313
7.6923,377.1807765,377.1795819,377.1798123,377.179784
7.70895,377.1799407,377.1787481,377.1789784,377.1789483
7.7256,377.1791165,377.1779259,377.1781562,377.1781244
7.74225,377.1783039,377.1771154,377.1773456,377.177312
7.7589,377.1775028,377.1763165,377.1765465,377.1765112
7.77555,377.1767131,377.1755291,377.175759,377.1757219
7.7922,377.1759348,377.1747532,377.1749829,377.174944
7.80885,377.1751678,377.1739886,377.1742182,377.1741775
7.8255,377.1744121,377.1732354,377.1734648,377.1734224
7.84215,377.1736676,377.1724935,377.1727226,377.1726784
7.8588,377.1729342,377.1717628,377.1719917,377.1719457
7.87545,377.172212,377.1710433,377.1712719,377.1712241
7.8921,377.1715007,377.1703348,377.1705631,377.1705135
7.90875,377.1708004,377.1696374,377.1698654,377.1698139
7.9254,377.170111,377.1689509,377.1691786,377.1691252
7.94205,377.1694324,377.1682753,377.1685026,377.1684474
7.9587,377.1687646,377.1676106,377.1678375,377.1677804
7.97535,377.1681075,377.1669566,377.167183,377.167124
7.992,377.167461,377.1663133,377.1665392,377.1664783
8.00865,377.166825,377.1656806,377.165906,377.1658432
8.0253,377.1661996,377.1650584,377.1652833,377.1652186
8.04195,377.1655845,377.1644468,377.1646711,377.1646044
8.0586,377.1649799,377.1638455,377.1640692,377.1640006
8.07525,377.1643854,377.1632546,377.1634776,377.1634071
8.0919,377.1638012,377.1626739,377.1628963,377.1628238
8.10855,377.1632271,377.1621034,377.1623251,377.1622506
