Time,W2,W3,W6,W8
11.2554,376.9723367,376.9721657,376.972387,376.9712144
11.27205,376.9723714,376.9722036,376.9724277,376.9712535
11.2887,376.9724066,376.9722422,376.9724689,376.9712932
11.30535,376.9724423,376.9722812,376.9725107,376.9713334
11.322,376.9724786,376.9723208,376.9725529,376.9713741
11.33865,376.9725153,376.9723608,376.9725956,376.9714154
11.3553,376.9725525,376.9724013,376.9726387,376.9714572
11.37195,376.9725902,376.9724423,376.9726824,376.9714995
11.3886,376.9726283,376.9724837,376.9727264,376.9715423
11.40525,376.9726669,376.9725256,376.9727709,376.9715856
11.4219,376.9727058,376.9725679,376.9728158,376.9716293
11.43855,376.9727453,376.9726106,376.9728612,376.9716735
11.4552,376.9727851,376.9726537,376.9729069,376.9717181
11.47185,376.9728253,376.9726971,376.9729529,376.9717632
11.4885,376.9728658,376.972741,376.9729994,376.9718086
11.50515,376.9729068,376.9727852,376.9730462,376.9718545
11.5218,376.9729481,376.9728298,376.9730933,376.9719007
11.53845,376.9729897,376.9728747,376.9731408,376.9719474
11.5551,376.9730317,376.9729199,376.9731886,376.9719944
11.57175,376.9730739,376.9729655,376.9732367,376.9720417
11.5884,376.9731165,376.9730113,376.973285,376.9720894
11.60505,376.9731594,376.9730574,376.9733337,376.9721374
11.6217,376.9732026,376.9731038,376.9733826,376.9721857
11.63835,376.973246,376.9731505,376.9734318,376.9722344
11.655,376.9732897,376.9731975,376.9734812,376.9722833
11.67165,376.9733336,376.9732446,376.9735309,376.9723325
11.6883,376.9733778,376.9732921,376.9735808,376.972382
11.70495,376.9734222,376.9733397,376.9736309,376.9724318
11.7216,376.9734669,376.9733875,376.9736812,376.9724818
11.73825,376.9735117,376.9734356,376.9737317,376.972532
11.7549,376.9735568,376.9734838,376.9737823,376.9725825
11.77155,376.973602,376.9735323,376.9738332,376.9726332
11.7882,376.9736474,376.9735809,376.9738842,376.9726841
11.80485,376.973693,376.9736296,376.9739354,376.9727352
11.8215,376.9737387,376.9736785,376.9739867,376.9727865
11.83815,376.9737846,376.9737276,376.9740381,376.9728379
11.8548,376.9738306,376.9737767,376.9740896,376.9728896
11.87145,376.9738767,376.9738261,376.9741413,376.9729414
11.8881,376.973923,376.9738755,376.9741931,376.9729933
11.90475,376.9739694,376.973925,376.9742449,376.9730454
11.9214,376.9740158,376.9739746,376.9742968,376.9730977
11.93805,376.9740624,376.9740243,376.9743488,376.97315
11.9547,376.9741091,376.9740741,376.9744009,376.9732025
11.97135,376.9741558,376.9741239,376.974453,376.973255
11.988,376.9742026,376.9741738,376.9745052,376.9733077
12.00465,376.9742494,376.9742238,376.9745574,376.9733604
12.0213,376.9742963,376.9742738,376.9746097,376.9734132
12.03795,376.9743433,376.9743238,376.9746619,376.9734661
12.0546,376.9743902,376.9743738,376.9747142,376.9735191
12.07125,376.9744372,376.9744239,376.9747665,376.9735721
12.0879,376.9744843,376.974474,376.9748188,376.9736251
12.10455,376.9745313,376.9745241,376.974871,376.9736782
12.1212,376.9745783,376.9745741,376.9749233,376.9737313
12.13785,376.9746253,376.9746242,376.9749755,376.9737845
12.1545,376.9746723,376.9746742,376.9750277,376.9738376
12.17115,376.9747193,376.9747242,376.9750798,376.9738908
12.1878,376.9747663,376.9747742,376.9751319,376.9739439
12.20445,376.9748132,376.9748241,376.9751839,376.9739971
12.2211,376.9748601,376.974874,376.9752359,376.9740502
12.23775,376.9749069,376.9749238,376.9752878,376.9741033
12.2544,376.9749537,376.9749736,376.9753396,376.9741564
12.27105,376.9750004,376.9750233,376.9753913,376.9742094
12.2877,376.975047,376.9750729,376.975443,376.9742624
12.30435,376.9750936,376.9751224,376.9754945,376.9743154
12.321,376.9751401,376.9751718,376.9755459,376.9743683
12.33765,376.9751865,376.9752211,376.9755973,376.9744211
12.3543,376.9752328,376.9752703,376.9756485,376.9744738
12.37095,376.975279,376.9753195,376.9756995,376.9745265
12.3876,376.9753251,376.9753684,376.9757505,376.9745791
12.40425,376.9753711,376.9754173,376.9758013,376.9746316
12.4209,376.9754169,376.9754661,376.975852,376.974684
12.43755,376.9754627,376.9755147,376.9759025,376.9747363
12.4542,376.9755083,376.9755631,376.9759528,376.9747885
12.47085,376.9755538,376.9756115,376.976003,376.9748406
12.4875,376.9755991,376.9756596,376.9760531,376.9748925
12.50415,376.9756443,376.9757077,376.9761029,376.9749444
12.5208,376.9756893,376.9757555,376.9761526,376.9749961
12.53745,376.9757342,376.9758032,376.9762021,376.9750476
12.5541,376.9757789,376.9758507,376.9762514,376.9750991
12.57075,376.9758235,376.9758981,376.9763006,376.9751504
12.5874,376.9758678,376.9759452,376.9763495,376.9752015
12.60405,376.9759121,376.9759922,376.9763982,376.9752525
12.6207,376.9759561,376.976039,376.9764467,376.9753033
12.63735,376.9759999,376.9760856,376.9764951,376.975354
12.654,376.9760436,376.976132,376.9765432,376.9754045
12.67065,376.976087,376.9761782,376.976591,376.9754548
12.6873,376.9761303,376.9762241,376.9766387,376.9755049
12.70395,376.9761733,376.9762699,376.9766861,376.9755548
12.7206,376.9762162,376.9763154,376.9767333,376.9756046
12.73725,376.9762588,376.9763608,376.9767802,376.9756542
12.7539,376.9763012,376.9764059,376.9768269,376.9757036
12.77055,376.9763434,376.9764507,376.9768734,376.9757527
12.7872,376.9763854,376.9764954,376.9769196,376.9758017
12.80385,376.9764272,376.9765398,376.9769655,376.9758505
12.8205,376.9764687,376.9765839,376.9770112,376.975899
12.83715,376.97651,376.9766278,376.9770567,376.9759473
12.8538,376.9765511,376.9766715,376.9771019,376.9759954
12.87045,376.9765919,376.9767149,376.9771468,376.9760433
12.8871,376.9766325,376.9767581,376.9771914,376.976091
12.90375,376.9766728,376.976801,376.9772357,376.9761384
12.9204,376.9767129,376.9768436,376.9772798,376.9761856
12.93705,376.9767527,376.976886,376.9773236,376.9762326
12.9537,376.9767923,376.9769281,376.9773671,376.9762793
12.97035,376.9768316,376.97697,376.9774104,376.9763258
12.987,376.9768706,376.9770115,376.9774533,376.976372
13.00365,376.9769094,376.9770528,376.9774959,376.976418
13.0203,376.9769479,376.9770938,376.9775383,376.9764637
13.03695,376.9769862,376.9771346,376.9775803,376.9765092
13.0536,376.9770241,376.977175,376.9776221,376.9765544
13.07025,376.9770618,376.9772152,376.9776635,376.9765994
13.0869,376.9770993,376.9772551,376.9777047,376.976644
13.10355,376.9771364,376.9772946,376.9777455,376.9766885
13.1202,376.9771733,376.9773339,376.977786,376.9767326
13.13685,376.9772099,376.9773729,376.9778262,376.9767765
13.1535,376.9772461,376.9774116,376.9778661,376.9768201
13.17015,376.9772821,376.97745,376.9779057,376.9768635
13.1868,376.9773179,376.9774881,376.9779449,376.9769065
13.20345,376.9773533,376.9775259,376.9779838,376.9769493
13.2201,376.9773884,376.9775634,376.9780224,376.9769918
13.23675,376.9774232,376.9776006,376.9780607,376.977034
13.2534,376.9774578,376.9776374,376.9780987,376.9770759
13.27005,376.977492,376.977674,376.9781363,376.9771175
13.2867,376.9775259,376.9777102,376.9781736,376.9771589
13.30335,376.9775596,376.9777462,376.9782105,376.9771999
13.32,376.9775929,376.9777818,376.9782471,376.9772407
13.33665,376.9776259,376.9778171,376.9782834,376.9772811
13.3533,376.9776586,376.9778521,376.9783194,376.9773213
13.36995,376.977691,376.9778867,376.978355,376.9773612
13.3866,376.9777231,376.977921,376.9783902,376.9774007
13.40325,376.9777549,376.9779551,376.9784251,376.97744
13.4199,376.9777864,376.9779887,376.9784597,376.9774789
13.43655,376.9778176,376.9780221,376.978494,376.9775176
13.4532,376.9778484,376.9780551,376.9785278,376.9775559
13.46985,376.9778789,376.9780878,376.9785614,376.977594
13.4865,376.9779091,376.9781202,376.9785946,376.9776317
13.50315,376.977939,376.9781523,376.9786274,376.9776691
13.5198,376.9779686,376.978184,376.9786599,376.9777062
13.53645,376.9779979,376.9782154,376.9786921,376.977743
13.5531,376.9780268,376.9782464,376.9787238,376.9777795
13.56975,376.9780554,376.9782771,376.9787553,376.9778157
13.5864,376.9780837,376.9783075,376.9787864,376.9778515
13.60305,376.9781117,376.9783376,376.9788171,376.977887
13.6197,376.9781394,376.9783673,376.9788475,376.9779223
13.63635,376.9781667,376.9783967,376.9788775,376.9779572
13.653,376.9781937,376.9784257,376.9789072,376.9779918
13.66965,376.9782204,376.9784544,376.9789365,376.978026
13.6863,376.9782467,376.9784828,376.9789654,376.97806
13.70295,376.9782728,376.9785109,376.978994,376.9780936
13.7196,376.9782985,376.9785386,376.9790223,376.9781269
13.73625,376.9783238,376.9785659,376.9790502,376.9781599
13.7529,376.9783489,376.9785929,376.9790777,376.9781925
13.76955,376.9783736,376.9786196,376.9791049,376.9782249
13.7862,376.978398,376.978646,376.9791317,376.9782569
13.80285,376.9784221,376.978672,376.9791581,376.9782886
13.8195,376.9784459,376.9786976,376.9791842,376.9783199
13.83615,376.9784693,376.978723,376.97921,376.978351
13.8528,376.9784924,376.978748,376.9792353,376.9783817
13.86945,376.9785152,376.9787726,376.9792604,376.9784121
13.8861,376.9785376,376.9787969,376.979285,376.9784421
13.90275,376.9785597,376.9788209,376.9793093,376.9784719
13.9194,376.9785815,376.9788445,376.9793333,376.9785013
13.93605,376.978603,376.9788678,376.9793568,376.9785304
13.9527,376.9786241,376.9788908,376.9793801,376.9785592
13.96935,376.978645,376.9789134,376.9794029,376.9785876
13.986,376.9786654,376.9789357,376.9794254,376.9786157
14.00265,376.9786856,376.9789577,376.9794476,376.9786435
14.0193,376.9787055,376.9789793,376.9794694,376.978671
14.03595,376.978725,376.9790005,376.9794908,376.9786981
14.0526,376.9787442,376.9790215,376.9795119,376.9787249
14.06925,376.9787631,376.9790421,376.9795326,376.9787514
14.0859,376.9787816,376.9790623,376.979553,376.9787776
14.10255,376.9787998,376.9790823,376.979573,376.9788035
14.1192,376.9788177,376.9791019,376.9795927,376.978829
14.13585,376.9788353,376.9791211,376.979612,376.9788542
14.1525,376.9788526,376.97914,376.9796309,376.9788791
14.16915,376.9788695,376.9791586,376.9796495,376.9789036
14.1858,376.9788862,376.9791769,376.9796678,376.9789278
14.20245,376.9789025,376.9791948,376.9796857,376.9789518
14.2191,376.9789185,376.9792124,376.9797032,376.9789753
