Time,V2_rms,V3_rms,V6_rms,V8_rms,V10_rms,V13_rms
1.5318,1.044733755,1.009787239,1.069763472,1.089794844,1.032839819,1.046950714
1.54845,1.044734257,1.009787885,1.069764158,1.089795917,1.032840417,1.046951335
1.5651,1.044734755,1.009788523,1.069764834,1.089796981,1.032841005,1.046951946
1.58175,1.044735247,1.00978915,1.069765501,1.089798035,1.032841585,1.046952547
1.5984,1.044735733,1.009789768,1.069766157,1.08979908,1.032842154,1.046953138
1.61505,1.044736215,1.009790377,1.069766803,1.089800115,1.032842715,1.046953719
1.6317,1.044736691,1.009790976,1.069767439,1.089801141,1.032843266,1.04695429
1.64835,1.044737162,1.009791565,1.069768065,1.089802156,1.032843807,1.046954851
1.665,1.044737627,1.009792145,1.069768681,1.089803162,1.032844339,1.046955402
1.68165,1.044738087,1.009792714,1.069769286,1.089804158,1.032844862,1.046955944
1.6983,1.044738542,1.009793275,1.069769882,1.089805145,1.032845375,1.046956475
1.71495,1.044738991,1.009793825,1.069770467,1.089806121,1.032845878,1.046956996
1.7316,1.044739435,1.009794366,1.069771042,1.089807088,1.032846372,1.046957507
1.74825,1.044739874,1.009794897,1.069771606,1.089808044,1.032846857,1.046958008
1.7649,1.044740306,1.009795418,1.069772161,1.089808991,1.032847331,1.046958498
1.78155,1.044740734,1.00979593,1.069772704,1.089809927,1.032847796,1.046958979
1.7982,1.044741156,1.009796431,1.069773238,1.089810854,1.032848252,1.04695945
1.81485,1.044741572,1.009796923,1.069773761,1.089811771,1.032848698,1.04695991
1.8315,1.044741983,1.009797405,1.069774274,1.089812677,1.032849134,1.04696036
1.84815,1.044742388,1.009797877,1.069774777,1.089813573,1.032849561,1.0469608
1.8648,1.044742788,1.009798339,1.069775269,1.089814459,1.032849978,1.04696123
1.88145,1.044743182,1.009798792,1.06977575,1.089815335,1.032850385,1.046961649
1.8981,1.044743571,1.009799234,1.069776222,1.089816201,1.032850782,1.046962059
1.91475,1.044743954,1.009799667,1.069776682,1.089817056,1.03285117,1.046962458
1.9314,1.044744331,1.009800089,1.069777133,1.089817901,1.032851548,1.046962846
1.94805,1.044744703,1.009800502,1.069777572,1.089818736,1.032851916,1.046963225
1.9647,1.044745069,1.009800904,1.069778002,1.08981956,1.032852275,1.046963593
1.98135,1.044745429,1.009801297,1.06977842,1.089820374,1.032852624,1.046963951
1.998,0.9961331412,0.9361636675,0.8746572718,0.902176578,0.7893926901,0.7922915694
2.01465,0.988806698,0.9288637679,0.8646506384,0.8949832333,0.7801243772,0.7806143033
2.0313,0.9847352506,0.9245884723,0.8584798705,0.8901764976,0.774619798,0.7742912246
2.04795,0.9817981387,0.9214403777,0.8538457145,0.8864981546,0.7704863176,0.7697370023
2.0646,0.9792908652,0.9187601702,0.8498482641,0.8833354623,0.7669306895,0.7658789433
2.08125,0.9769630918,0.9162862412,0.8461361435,0.8804258501,0.7636436286,0.7623381277
2.0979,1.022616297,0.9844718676,1.036348003,1.059315812,1.000495525,1.011765888
2.11455,1.029476853,0.9919948845,1.046712681,1.068992134,1.011075343,1.023529744
2.1312,1.032009463,0.9947805967,1.050230141,1.072351527,1.014403266,1.027307802
2.14785,1.033251272,0.9961949755,1.052153355,1.074110845,1.016176058,1.029288768
2.1645,1.034044945,0.9971222867,1.053511105,1.075301286,1.017400296,1.030653913
2.18115,1.034697857,0.9978988787,1.054699507,1.076303717,1.018457507,1.031835233
2.1978,1.035324709,0.99865398,1.055865488,1.077261787,1.019492297,1.032990207
2.21445,1.035962671,0.9994298228,1.057048213,1.078219833,1.020546602,1.034161858
2.2311,1.036616512,1.000231324,1.058242082,1.079180381,1.021618814,1.035346227
2.24775,1.037277658,1.001047767,1.059424798,1.080129535,1.022690316,1.036521745
2.2644,1.037932764,1.001862713,1.060570102,1.081048629,1.023737675,1.037662427
2.28105,1.038567726,1.002658669,1.061653481,1.081919575,1.024738234,1.038743781
2.2977,1.039169566,1.00341928,1.06265448,1.082727165,1.025672507,1.039745224
2.31435,1.039727297,1.004130374,1.063557392,1.083459861,1.026525021,1.040650835
2.331,1.040232255,1.004780396,1.064351146,1.084109809,1.027284373,1.041449277
2.34765,1.040678245,1.005360324,1.065028859,1.084672474,1.027942916,1.04213336
2.3643,1.041060727,1.005863687,1.065587057,1.08514586,1.028496121,1.042699337
2.38095,1.04137793,1.006286817,1.066025476,1.085530415,1.02894235,1.043146555
2.3976,1.041629659,1.006628216,1.066346795,1.085828484,1.029282728,1.04347737
2.41425,1.041817432,1.006888453,1.066556079,1.086043886,1.029520532,1.043696483
2.4309,1.04194432,1.00707008,1.066660798,1.086181854,1.029661229,1.043810995
2.44755,1.042014797,1.007177491,1.066670684,1.086248938,1.029712362,1.043830261
2.4642,1.042034604,1.007216791,1.066597601,1.086252991,1.029683466,1.043765779
2.48085,1.042010603,1.007195639,1.066455331,1.08620313,1.029585938,1.043630991
2.4975,1.0419506,1.007123047,1.06625925,1.086109653,1.029432807,1.043440978
